address1,address2,address3,dlr_cd,dlr_nm,full_address,opt1,opt2,org_cd,org_nm,org_type,phone_number
경기,김포시,감정로 3 상가동 105호,310276,(주)넝쿨정보,경기도 김포시 감정로 3 상가동 105호,강남,경인,P276874,(주)넝쿨정보_김포점,일반전매점,010-8917-1202
경기,부천시,경인로 206,310257,(주)모바일제너레이션,경기도 부천시 경인로 206,강남,경인,P195060,모바일제너레이션_부천남부시장C4,위탁지원,010-7695-9091
인천,부평구,"길주남로 159, 새롬프라자 103호",371222,(주)모바일제너레이션,"인천광역시 부평구 길주남로 159, 새롬프라자 103호",강남,경인,P047312,모바일제너레이션_부개점,위탁지원,010-7777-7882
인천,부평구,길주남로 10번길 21,306804,(주)모바일제너레이션,인천시 부평구 길주남로 10번길 21,강남,경인,P272673,모바일제너레이션_부평래미안점,일반전매점,010-8127-8105
경기,부천시,"부천로 19, 1층",311867,주식회사 더드림스,"경기도 부천시 부천로 19, 1층",강남,경인,P034966,더 드림_부천북부역점,위탁지원,070-8288-2700
경기,부천시,"부일로 462, 1층",311867,주식회사 더드림스,"경기도 부천시 부일로 462, 1층",강남,경인,P041734,더 드림_부천대학로점,위탁지원,070-8688-2700
인천,부평구,"주부토로 193, 1층",307965,주식회사 더드림스,"인천광역시 부평구 주부토로 193, 1층",강남,경인,P273417,더 드림_갈산점,임차지원2,070-4383-2700
경기,부천시,소사구 소삼로21,311418,주식회사 더드림스,경기도 부천시 소사구 소삼로21,강남,경인,P287716,더 드림_소사점,일반전매점,070-8292-2700
경기,부천시,경인로498번길 9,311687,(주)명성모바일,경기도 부천시 경인로498번길 9,강남,경인,P039725,㈜명성모바일_역곡남부역점,위탁지원,032-347-5511
인천,부평구,시장로 13-1,307951,(주)명성모바일,인천광역시 부평구 시장로 13-1,강남,경인,P272299,㈜명성모바일_부평점,위탁지원,032-502-8081
인천,부평구,경원대로 1395,307442,(주)명성모바일,인천광역시 부평구 경원대로 1395,강남,경인,P172796,㈜명성모바일_부평로데오점,임차지원1,032-515-6900
인천,부평구,시장로 25,312465,(주)명성모바일,인천광역시 부평구 시장로 25,강남,경인,P172796,㈜명성모바일_부평로터리점,임차지원1,032-651-2700
경기,부천시,"장말로 198, 1층",312465,(주)명성모바일,"경기도 부천시 장말로 198, 1층",강남,경인,P172796,㈜명성모바일_상동시장점,임차지원1,032-664-0809
경기,부천시,"소사로 719, 관우프라자 1층",307986,(주)명성모바일,"경기도 부천시 소사로 719, 관우프라자 1층",강남,경인,P172796,㈜명성모바일_여월점,임차지원1,070-4641-6081
경기,부천시,"역곡로481번길 14, 1층",307443,(주)명성모바일,"경기도 부천시 역곡로481번길 14, 1층",강남,경인,P172796,㈜명성모바일_고강점,임차지원1,070-4606-7019
경기,부천시,"길주로 270, 중동대우마이빌2 제1층 제101호",306891,황후모바일,"경기도 부천시 길주로 270, 중동대우마이빌2 제1층 제101호",강남,경인,P240776,황후모바일_신중동역점,위탁지원,070-4842-5356
경기,부천시,오정구 중동로 406 102호,307986,황후모바일,경기도 부천시 오정구 중동로 406 102호,강남,경인,P277100,황후모바일_신흥시장점,일반전매점,070-7565-5356
경기,부천시,소사구송내대로 33 1층{송내동},311536,SA모바일,경기 부천시 소사구송내대로 33 1층{송내동},강남,경인,P271706,송내직영점,위탁지원,070-4062-3328
경기,부천시,"원미구 상일로 96 108호{상동, 세원빌딩)",308363,SA모바일,"경기 부천시 원미구 상일로 96 108호{상동, 세원빌딩)",강남,경인,P044890,SA모바일_송내역점,위탁지원,070-4036-3328
인천,부평구,부평대로20번길 2,370529,주식회사 와이에이,인천광역시 부평구 부평대로20번길 2,강남,경인,P287079,㈜와이에이_부평점,위탁운영,070-5110-4480
경기,부천시,조마루로297번길 61,370987,주식회사 와이에이,경기도 부천시 조마루로297번길 61,강남,경인,P217727,㈜와이에이_중동1점,위탁지원,070-4369-2849
경기,부천시,"신흥로 199, 트리플타워 c동 103호",372394,주식회사 와이에이,"경기도 부천시 신흥로 199, 트리플타워 c동 103호",강남,경인,P804022,㈜와이에이_중동2점,위탁지원,070-8635-1540
경기,부천시,"상동로 112, 썬프라자 102호",307992,주식회사 와이에이,"경기도 부천시 상동로 112, 썬프라자 102호",강남,경인,P273951,㈜와이에이_상동점,위탁지원,070-4656-1766
경기,부천시,"상동로 81, 센터프라자 1층 102호",312787,주식회사 와이에이,"경기도 부천시 상동로 81, 센터프라자 1층 102호",강남,경인,P257865,㈜와이에이_상동점,위탁지원,070-8281-1012
경기,부천시,"길주로 243, 제일프라자 제1층 제103호",307992,주식회사 와이에이,"경기도 부천시 길주로 243, 제일프라자 제1층 제103호",강남,경인,P243285,㈜와이에이_중동점,임차지원2,070-4300-5100
경기,부천시,"석천로 181, 원흥프라자 103호,104호",307848,(주)케이컴,"경기도 부천시 석천로 181, 원흥프라자 103호,104호",강남,경인,P140150,케이컴_현대백화점C4,위탁지원,032-326-6010
경기,부천시,"소사동로 82, 센트럴프라자 제1층 제107호",307544,(주)케이컴,"경기도 부천시 소사동로 82, 센트럴프라자 제1층 제107호",강남,경인,P245711,케이컴_소사신도시점,임차지원3,070-4606-4016
경기,부천시,"소향로 131, 일신빌딩",312211,태왕모바일,"경기도 부천시 소향로 131, 일신빌딩",강남,경인,P287979,태왕모바일_현대2점,위탁운영,010-8060-0296
경기,부천시,"부일로297번길 3, 1층",309775,태왕모바일,"경기도 부천시 부일로297번길 3, 1층",강남,경인,P252502,태왕모바일_상동시장입구점,위탁지원,010-8077-0296
경기,부천시,"석천로169번길 30, 새롬프라자",311029,태왕모바일,"경기도 부천시 석천로169번길 30, 새롬프라자",강남,경인,P277491,태왕모바일_현대점,위탁지원,010-7706-0296
경기,김포시,"사우중로 49, BYC빌딩 1층",310083,㈜ 인연,"경기도 김포시 사우중로 49, BYC빌딩 1층",강남,경인,P036208,인연모바일_사우점,위탁지원,031-998-0010
경기,김포시,"김포한강11로 288-5, 한강베네치아 1층",310833,㈜ 인연,"경기도 김포시 김포한강11로 288-5, 한강베네치아 1층",강남,경인,P256405,인연모바일 _운양점,위탁운영,070-8670-1718
경기,김포시,김포한강1로 227 광장프라자,312410,㈜ 인연,경기도 김포시 김포한강1로 227 광장프라자,강남,경인,P277243,인연모바일_김포한강로1점,임차지원1,031-991-7994
경기,김포시,풍무로96번길 8 삼용아파트상가동 103호,371224,㈜ 인연,경기도 김포시 풍무로96번길 8 삼용아파트상가동 103호,강남,경인,P282505,인연모바일_풍무점,일반전매점,031-986-2460
인천,서구,완정로 159,312986,㈜ 나눔,인천광역시 서구 완정로 159,강남,경인,P045113,나눔통신_검단점,위탁지원,070-4610-0534~5
인천,계양구,경명대로 1081,371364,㈜ 나눔,인천광역시 계양구 경명대로 1081,강남,경인,P258704,나눔통신_계산역,위탁지원,070-4610-4461
경기,김포시,"김포대로 847, 중앙프라자 1층 102호",311034,㈜ 나눔,"경기도 김포시 김포대로 847, 중앙프라자 1층 102호",강남,경인,P828119,나눔통신_사우동점,위탁운영,070-4610-0533
경기,김포시,"김포한강2로 100, 비호뉴팰리스 1층",310833,㈜ 나눔,"경기도 김포시 김포한강2로 100, 비호뉴팰리스 1층",강남,경인,P257738,나눔통신_장기동점,위탁운영,070-4659-5786~7
인천,서구,검단로 485,372539,㈜ 나눔,인천광역시 서구 검단로 485,강남,경인,P044637,나눔통신_검단사거리점,임차지원2,070-4610-0532
인천,서구,"서곶로 295, 1층",311394,㈜ 한사랑,"인천광역시 서구 서곶로 295, 1층",강남,경인,P107073,한사랑_심곡점,위탁지원,032-569-7560
인천,서구,"청라커낼로 252, 롯데마트 청라점 1층",312404,㈜ 한사랑,"인천광역시 서구 청라커낼로 252, 롯데마트 청라점 1층",강남,경인,P240219,한사랑_청라점,위탁지원,032-566-7560
인천,계양구,계양문화로 86,310639,㈜ 한사랑,인천광역시 계양구 계양문화로 86,강남,경인,P031218,계양구청점_C4,위탁지원,032-554-9010
인천,서구,"원적로 85, 우신프라자 1층 (106,107호)",308065,㈜ 한사랑,"인천광역시 서구 원적로 85, 우신프라자 1층 (106,107호)",강남,경인,P019041,한사랑_가좌점,위탁지원,032-208-7560
경기,김포시,"김포한강4로 131, 105호",371239,㈜ 한사랑,"경기도 김포시 김포한강4로 131, 105호",강남,경인,P251789,한사랑_장기점,임차지원3,031-988-7530
인천,서구,"승학로 491, 고산프라자 1층",310257,㈜ 한사랑,"인천광역시 서구 승학로 491, 고산프라자 1층",강남,경인,P139969,한사랑_검암점,일반전매점,032-562-7560
인천,동구,송림로 91,309767,㈜ 한사랑,인천광역시 동구 송림로 91,강남,경인,P207178,한사랑_송림점,일반전매점,032-764-7560
경기,김포시,"사우중로 82, 사우프라자 1층",308053,㈜ 한사랑,"경기도 김포시 사우중로 82, 사우프라자 1층",강남,경인,P218204,한사랑 _사우점,일반전매점,031-981-4262
인천,계양구,계양대로 156,312406,㈜ 한사랑,인천광역시 계양구 계양대로 156,강남,경인,P258367,한사랑_경인교대점,일반전매점,032-555-9466
경기,김포시,김포한강4로 113 신한프라자 제1층 제103호,308053,Day(데이),경기 김포시 김포한강4로 113 신한프라자 제1층 제103호,강남,경인,P240808,Day(데이)_장기점,위탁지원,070-5017-5268
인천,계양구,"동양로 103, 태진프라자 1층",311289,Day(데이),"인천광역시 계양구 동양로 103, 태진프라자 1층",강남,경인,P284019,Day(데이)_동양점,위탁운영,070-8245-9003
인천,계양구,장제로 909,371237,서원유플러스,인천광역시 계양구 장제로 909,강남,경인,P029860,서원유플러스_병방동C4,위탁지원,032-543-7019
인천,서구,장고개로337번길 16 한신휴플러스상가,307992,서원유플러스,인천광역시 서구 장고개로337번길 16 한신휴플러스상가,강남,경인,P273195,서원유플러스_가좌점,위탁지원,032-577-7019
인천,서구,"가정로 379, 신현e편한세상 1층",309799,주식회사 에스엠정보통신,"인천광역시 서구 가정로 379, 신현e편한세상 1층",강남,경인,P255964,SM_신현점,위탁지원,070-5030-5501~2
인천,계양구,계양대로 64,312622,주식회사 에스엠정보통신,인천광역시 계양구 계양대로 64,강남,경인,P956605,SM_작전점,일반전매점,032-547-7019
경기,김포시,김포대로 329,307992,㈜패밀리컴퍼니,경기도 김포시 김포대로 329,강남,경인,P286884,고촌점,위탁지원,070-4351-2528
인천,계양구,"오조산공원로 22, 108호(용종동)",309765,㈜패밀리컴퍼니,"인천광역시 계양구 오조산공원로 22, 108호(용종동)",강남,경인,P583955,계양구청점_C4,위탁지원,070-4351-2526~7
인천,서구,"청마로167번길 3, 대우프라자 107호",309796,㈜다래,"인천광역시 서구 청마로167번길 3, 대우프라자 107호",강남,경인,P249604,㈜다래_당하점,위탁운영,070-4365-4088
인천,서구,"솔빛로 86, SK뷰아파트 정문 앞",372404,㈜다래,"인천광역시 서구 솔빛로 86, SK뷰아파트 정문 앞",강남,경인,P284018,㈜다래_청라점,위탁운영,070-4365-4080
경기,김포시,조강로 66-1,307544,스타텔레콤,경기도 김포시 조강로 66-1,강남,경인,P049981,스타텔레콤_마송점,위탁지원,031-988-9019
인천,강화군,강화읍 강화대로 414,311527,스타텔레콤,인천광역시 강화군 강화읍 강화대로 414,강남,경인,P605951,스타텔레콤_강화점,위탁지원,010-7766-5474
경기,김포시,북변중로 44-1,311601,스타텔레콤,경기도 김포시 북변중로 44-1,강남,경인,P207240,스타텔레콤_북변점,임차지원1,070-8246-8532
인천,서구,"완정로 60, 정안빌딩 1층",372489,주식회사 제이와이제이,"인천광역시 서구 완정로 60, 정안빌딩 1층",강남,경인,P236666,검단점,위탁지원,070-8232-7563
인천,서구,승학로 515 대림프라자 1층,312792,주식회사 제이와이제이,인천광역시 서구 승학로 515 대림프라자 1층,강남,경인,P280580,검암점,위탁지원,070-8682-7563
인천,서구,간촌로 4 엘지유플러스,304917,주식회사 제이와이제이,인천광역시 서구 간촌로 4 엘지유플러스,강남,경인,P279472,연희점,임차지원2,070-7562-7563
인천,서구,"원당대로 860, 보람프라자 106호",304976,주식회사 부성모바일,"인천광역시 서구 원당대로 860, 보람프라자 106호",강남,경인,P286885,부성모바일_원당점,위탁지원,070-8223-7424
인천,계양구,"효서로 377 현대아파트 상가동 1층 3호,4호",370207,주식회사 부성모바일,"인천광역시 계양구 효서로 377 현대아파트 상가동 1층 3호,4호",강남,경인,P271703,SM_까치마을점,위탁지원,032-543-5435
인천,서구,가정로 372,304917,형제모바일,인천광역시 서구 가정로 372,강남,경인,P028110,형제모바일,위탁지원,070-4829-9333
인천,계양구,경명대로 1063,310933,폰짱,인천광역시 계양구 경명대로 1063,강남,경인,P016784,폰짱_계산점,위탁지원,070-4845-8757
인천,계양구,게양대로 44,372084,폰짱,인천광역시 계양구 게양대로 44,강남,경인,P254797,폰짱_신대사거리점,위탁지원,010-8718-8551
인천,부평구,갈산동 주부토로 193,308473,폰짱,인천광역시 부평구 갈산동 주부토로 193,강남,경인,P273417,폰짱_갈산점,일반전매점,070-7516-1909
경기,김포시,"중봉1로 9, 도선빌딩 1층",310933,마스터(MASTER),"경기도 김포시 중봉1로 9, 도선빌딩 1층",강남,경인,P271702,마스터_감정점,직영점,070-5017-6495
인천,강화군,"강화읍 강화대로 395, 준프라자 1층 107호",312951,강화직영점,"인천광역시 강화군 강화읍 강화대로 395, 준프라자 1층 107호",강남,경인,P187079,강화직영점,직영점,070-5071-7916
인천,계양구,경명대로 1086,372545,계산직영점,인천광역시 계양구 경명대로 1086,강남,경인,P045147,계산직영점,직영점,070-8286-2907
경기,김포시,"김포한강8로 378, 웅신프라자 1층 111,112호",310933,한강신도시직영점,"경기도 김포시 김포한강8로 378, 웅신프라자 1층 111,112호",강남,경인,P273035,한강신도시직영점,직영점,070-5017-7966
인천,서구,"청라라임로 71, 진영메디피아 1층 108호",312951,청라직영점,"인천광역시 서구 청라라임로 71, 진영메디피아 1층 108호",강남,경인,P273796,청라직영점,직영점,070-5017-7951
인천,중구,"공항로 272, 인천국제공항역 3층 출국장 M카운트 앞",370144,인천공항직영점,"인천광역시 중구 공항로 272, 인천국제공항역 3층 출국장 M카운트 앞",강남,경인,P273298,인천공항직영점,직영점,070-5017-8391
경기,김포시,"사우중로 45, 김포코아센터 109호",312951,사우직영점,"경기도 김포시 사우중로 45, 김포코아센터 109호",강남,경인,P208200,사우직영점,직영점,070-4032-8426
인천,서구,가정로308번길 2,370016,서구강남시장직영점,인천광역시 서구 가정로308번길 2,강남,경인,P036089,서구강남시장직영점,직영점,070-8262-7787
인천,계양구,계양대로 31,304550,작전직영점,인천광역시 계양구 계양대로 31,강남,경인,P019052,작전직영점,직영점,032-555-1019
인천,계양구,"안남로 549, 1층",310933,효성직영점,"인천광역시 계양구 안남로 549, 1층",강남,경인,P258616,효성직영점,직영점,070-5017-6314
인천,중구,흰바위로 45 가나베스트텔 1층 LG유플러스 (운서동),304550,인천공항신도시직영점,인천광역시 중구 흰바위로 45 가나베스트텔 1층 LG유플러스 (운서동),강남,경인,P289271,인천공항신도시직영점,직영점,070-5044-5538
서울,영등포구,영신로19길?26-1,311127,복음텔레콤,서울특별시 영등포구 영신로19길?26-1,강남,남서울,P269670,복음텔레콤_영등포점,위탁운영,070-8252-8029
서울,관악구,난곡로?194,312817,복음텔레콤,서울특별시 관악구 난곡로?194,강남,남서울,P276324,복음텔레콤_난곡점,위탁지원,070-4015-8019
서울,영등포구,당산로?136-1?,311068,소라텔레콤,서울특별시 영등포구 당산로?136-1?,강남,남서울,P037934,소라텔레콤_영등포구청점,위탁지원,02-2675-6019
서울,관악구,난곡로?367,310933,㈜시우아이엔씨,서울특별시 관악구 난곡로?367,강남,남서울,P185257,㈜시우아이엔씨_신대방점,위탁지원,02-865-2010
서울,영등포구,양평로 59,312817,주식회사 텔레텔레콤,서울 영등포구 양평로 59,강남,남서울,P018474,텔레텔레콤_당산점,위탁지원,070-4606-5692
서울,동작구,동작대로 107,311127,주식회사 텔레텔레콤,서울 동작구 동작대로 107,강남,남서울,P046018,텔레텔레콤_이수점,일반점,070-8278-5692
서울,관악구,남부순환로?1952,312322,창조텔레콤,서울특별시 관악구 남부순환로?1952,강남,남서울,P239967,창조텔레콤_낙성대입구역점,위탁지원,070-5022-0019
서울,영등포구,신길로 158 1층(신길동),310933,창조텔레콤,서울 영등포구 신길로 158 1층(신길동),강남,남서울,P172792,창조텔레콤_신길점,일반점,070-8257-1158
서울,관악구,봉천로?217-1?,311467,주식회사 이레스퀘어,서울특별시 관악구 봉천로?217-1?,강남,남서울,P035975,이레스퀘어_보라매역점,위탁지원,02-883-2252
서울,관악구,남부순환로?1741?,372568,(주)조이모바일,서울특별시 관악구 남부순환로?1741?,강남,남서울,P288275,㈜조이모바일_봉천역점,위탁운영,070-8633-4009
서울,관악구,남부순환로?1596,311127,(주)조이모바일,서울특별시 관악구 남부순환로?1596,강남,남서울,P035430,JOY텔레콤_신림중앙점,위탁지원,070-4009-6366
서울,영등포구,도림로?135,370205,(주)조이모바일,서울특별시 영등포구 도림로?135,강남,남서울,P044572,JOY텔레콤_대림역점,위탁지원,070-4888-6368
서울,관악구,관악로 174,372085,(주)조이모바일,서울 관악구 관악로 174,강남,남서울,P037225,JOY텔레콤_서울대입구역점,위탁지원,070-5089-0116
서울,동작구,상도로?207,370037,주식회사 엠모바일,서울특별시 동작구 상도로?207,강남,남서울,P288406,엠모바일_상도점,위탁운영,070-5043-2035
서울,영등포구,도신로?229,312435,주식회사 엠모바일,서울특별시 영등포구 도신로?229,강남,남서울,P019647,M모바일_신길점,위탁지원,070-4686-2057
서울,영등포구,영중로?52-1 (26-4번지),309602,(주)엔에스플러스,서울특별시 영등포구 영중로?52-1 (26-4번지),강남,남서울,P043231,엔에스플러스_영등포뉴타운점,위탁지원,070-4606-4321
서울,관악구,은천로?37,309631,폴라리스,서울특별시 관악구 은천로?37,강남,남서울,P031243,폴라리스_은천길점,위탁지원,070-8257-0019
서울,금천구,독산로?137,312803,처음처럼,서울특별시 금천구 독산로?137,강남,남서울,P290711,처음처럼_시흥1동점,위탁운영,070-7514-6367
서울,금천구,시흥대로?232,309631,처음처럼,서울특별시 금천구 시흥대로?232,강남,남서울,P041453,처음처럼_시흥사거리점,위탁지원,070-7558-6367
서울,금천구,독산로?246,312803,처음처럼,서울특별시 금천구 독산로?246,강남,남서울,P258306,처음처럼_독산동점,위탁지원,070-8283-6367
서울,동작구,시흥대로?658,313096,처음처럼,서울특별시 동작구 시흥대로?658,강남,남서울,P022133,처음처럼_신대방점,일반점,070-8292-1092
서울,금천구,독산로 200,312435,처음처럼,서울시 금천구 독산로 200,강남,남서울,P276370,처음처럼_독산2호점,일반점,070-7561-6367
서울,금천구,금하로?711,311856,SY패밀리,서울특별시 금천구 금하로?711,강남,남서울,P276323,SY패밀리_은행나무사거리점,위탁운영,070-7550-0936
서울,영등포구,여의대방로?383,311722,SY패밀리,서울특별시 영등포구 여의대방로?383,강남,남서울,P288212,SY패밀리_여의도점,위탁운영,070-8285-0936
서울,관악구,신림로?358-1,311722,SY패밀리,서울특별시 관악구 신림로?358-1,강남,남서울,P030410,SY패밀리_신림점,위탁지원,070-4606-0936
서울,관악구,관악로?192,311856,SY패밀리,서울특별시 관악구 관악로?192,강남,남서울,P202306,SY패밀리_관악중앙점,위탁지원,070-4898-0936
서울,관악구,관악로 153 1층 (봉천동),311856,SY패밀리,서울 관악구 관악로 153 1층 (봉천동),강남,남서울,P044569,SY패밀리_서울대점,일반점,070-7552-0936
서울,동작구,상도로?80,308350,브라더스플러스,서울특별시 동작구 상도로?80,강남,남서울,P259815,브라더스플러스_신대방삼거리점,위탁지원,02-941-5965
서울,관악구,은천로?105,310398,브라더스플러스,서울특별시 관악구 은천로?105,강남,남서울,P240067,브라더스플러스_현대시장점,위탁지원,070-7521-4904
서울,금천구,가산로 113 (가산동),371727,브라더스플러스,서울 금천구 가산로 113 (가산동),강남,남서울,P291889,브라더스플러스_가산점,일반점,070-4300-1253
서울,금천구,시흥대로?406,309862,와이즈피플,서울특별시 금천구 시흥대로?406,강남,남서울,P252499,독산동점,위탁지원,070-8202-8288
서울,금천구,시흥대로?211,309862,와이즈피플,서울특별시 금천구 시흥대로?211,강남,남서울,P207464,시흥동점,위탁지원,070-7592-8288
서울,관악구,시흥대로 548 1층 엘지유플러스 (신림동),310926,와이즈피플,서울시 관악구 시흥대로 548 1층 엘지유플러스 (신림동),강남,남서울,P290459,조원동점,일반점,070-8623-8288
서울,동작구,사당로?218-1?,309631,정도모바일,서울특별시 동작구 사당로?218-1?,강남,남서울,P252923,정도모바일_남성역점,위탁지원,070-4603-3593
서울,관악구,난곡로 229 (신림동),312656,정도모바일,서울 관악구 난곡로 229 (신림동),강남,남서울,P291305,정도모바일_미성점,일반점,070-4603-3596
서울,관악구,관악로 185,309598,88브로스,서울 관악구 관악로 185,강남,남서울,P228023,88브로스_서울대입구역점,위탁지원,070-7722-1762
서울,동작구,노량진로 132 제 1호,311559,이음모바일,서울 동작구 노량진로 132 제 1호,강남,남서울,P167264,이음모바일_노량진점,위탁지원,070-7562-2777
서울,동작구,상도로?174?,310058,이음모바일,서울특별시 동작구 상도로?174?,강남,남서울,P230053,이음모바일_장승배기점,위탁지원,070-8279-2777
서울,동작구,상도로?102,312656,주식회사 브라더스플러스,서울특별시 동작구 상도로?102,강남,남서울,P233938,브라더스_성대시장점,위탁지원,070-4641-4360
서울,동작구,흑석로 110-1,312523,엔에스플러스,서울 동작구 흑석로 110-1,강남,남서울,P244063,엔에스플러스_중앙대점,위탁지원,070-8600-8010
서울,영등포구,의사당대로 108 아일렉스상가 1층 105호,313315,엔에스플러스,서울 영등포구 의사당대로 108 아일렉스상가 1층 105호,강남,남서울,P244863,엔에스플러스_여의도점,위탁지원,070-8682-2386
서울,영등포구,여의대방로 135 (신길동),312523,엔에스플러스,서울 영등포구 여의대방로 135 (신길동),강남,남서울,P289535,엔에스플러스_보라매점,일반점,070-4388-8010
서울,동작구,동작대로?127,312038,총신대직영점,서울특별시 동작구 동작대로?127,강남,남서울,P032719,총신대직영점,직영점,070-4015-5837
서울,금천구,디지털로?212,370866,가산직영점,서울특별시 금천구 디지털로?212,강남,남서울,P571960,가산직영점,직영점,070-5017-7218
서울,관악구,남부순환로 1601,371258,신림직영점,서울 관악구 남부순환로 1601,강남,남서울,P240772,신림직영점,직영점,070-8259-4188
서울,영등포구,여의대로 128 (LG트윈타워 동관 1층),312443,트윈타워직영점,서울 영등포구 여의대로 128 (LG트윈타워 동관 1층),강남,남서울,P033221,트윈타워직영점,직영점,02-3777-0019
서울,영등포구,"영중로?22, 1층 제102호",370284,영등포직영점,"서울특별시 영등포구 영중로?22, 1층 제102호",강남,남서울,P045261,영등포직영점,직영점,070-7503-4156
서울,동작구,"노량진로?152, 1층",310045,노량진직영점,"서울특별시 동작구 노량진로?152, 1층",강남,남서울,P045328,노량진직영점,직영점,070-4642-2531
서울,동작구,동작대로?53,310926,사당직영점,서울특별시 동작구 동작대로?53,강남,남서울,P031005,사당직영점,직영점,070-5017-5606
서울,관악구,관악로?232,310926,관악로직영점,서울특별시 관악구 관악로?232,강남,남서울,P956834,관악로직영점,직영점,070-4009-2200
서울,관악구,신림로?313,311850,신림로직영점,서울특별시 관악구 신림로?313,강남,남서울,P273196,신림로직영점,직영점,070-5017-5046
서울,동작구,"알마타길?6, 공군관사 1층 상업시설 105호",311850,대방직영점,"서울특별시 동작구 알마타길?6, 공군관사 1층 상업시설 105호",강남,남서울,P262052,대방직영점,직영점,070-5017-9817
경기,수원시,"영통구 매탄로 151 삼호상가 1-8,9호",310045,애플모바일,"경기도 수원시 영통구 매탄로 151 삼호상가 1-8,9호",강남,수원,P273247,애플모바일_매탄점,위탁운영,070-8234-0041
경기,수원시,영통구 매영로 143 105호,307854,애플모바일,경기도 수원시 영통구 매영로 143 105호,강남,수원,P288456,애플모바일_원천점,일반전매,070-8283-0031
경기,수원시,영통구 영통로 115 (망포동),307854,형제통신,경기도 수원시 영통구 영통로 115 (망포동),강남,수원,P281346,형제통신_망포점,위탁운영,070-4623-6321
경기,수원시,팔달구 덕영대로 933 (매산로1가),310559,형제통신,경기도 수원시 팔달구 덕영대로 933 (매산로1가),강남,수원,P657962,형제통신_수원역점,위탁지원,070-5033-6321
경기,수원시,팔달구 매산로1가 55-4,308245,형제통신,경기도 수원시 팔달구 매산로1가 55-4,강남,수원,P139842,형제통신_신수원역점,위탁지원,070-4042-6321
경기,수원시,장안구 창룡대로 189 (연무동),310559,넷마임텔레콤,경기도 수원시 장안구 창룡대로 189 (연무동),강남,수원,P223189,넷마임텔레콤_연무점,일반전매,070-7500-7007
경기,수원시,팔달구 덕영대로 915-1 (매산로 1가),308237,(주)오즈텔레콤,경기도 수원시 팔달구 덕영대로 915-1 (매산로 1가),강남,수원,P034805,오즈텔레콤_수원역로터리점,위탁지원,010-5577-7050
경기,수원시,영통구 아주로 42 (원천동),370621,(주)오즈텔레콤,경기도 수원시 영통구 아주로 42 (원천동),강남,수원,P252606,오즈텔레콤_아주대점,임차지원3,031-215-1010
경기,수원시,"팔달구 권광로 184 1층 (인계동, 캐슬타워)",310926,로얄텔레콤,"경기도 수원시 팔달구 권광로 184 1층 (인계동, 캐슬타워)",강남,수원,P042019,로얄텔레콤_인계점,위탁지원,070-4843-2633
경기,수원시,"영통구 반달로 21 109호 (영통동, 매직프라자)",310398,로얄텔레콤,"경기도 수원시 영통구 반달로 21 109호 (영통동, 매직프라자)",강남,수원,P153401,로얄텔레콤_영통역점,임차지원2,070-4843-2633
경기,수원시,영통구 태장로 88 (망포동),312804,신영통신,경기도 수원시 영통구 태장로 88 (망포동),강남,수원,P041939,신영통신_망포점,위탁지원,070-4369-5184
